,Pollutant,min,max,std,station_type,resample,station
97,CO - (mg/Nm3),0.0083333333,294.825,58.47642255227414,ck,1h,ck_8. Du Lieu Trung Binh_Xi Măng Lam Thạch - Lò Nung Clinker 2 2023
98,NOx - (mg/Nm3),0.0083333333,662.475,151.2173659157908,ck,1h,ck_8. Du Lieu Trung Binh_Xi Măng Lam Thạch - Lò Nung Clinker 2 2023
99,TSP - (mg/Nm3),5.0333333333,36.4833333333,4.902388322665588,ck,1h,ck_8. Du Lieu Trung Binh_Xi Măng Lam Thạch - Lò Nung Clinker 2 2023
100,SO2 - (mg/Nm3),0.0083333333,38.2583333333,8.829639515553762,ck,8h,ck_8. Du Lieu Trung Binh_Xi Măng Lam Thạch - Lò Nung Clinker 2 2023
101,CO - (mg/Nm3),0.0083333333,277.35833333326,56.120154224598984,ck,8h,ck_8. Du Lieu Trung Binh_Xi Măng Lam Thạch - Lò Nung Clinker 2 2023
102,NOx - (mg/Nm3),0.01249999995,569.895833333275,152.23676654840992,ck,8h,ck_8. Du Lieu Trung Binh_Xi Măng Lam Thạch - Lò Nung Clinker 2 2023
103,TSP - (mg/Nm3),5.1208333332875,36.22738095232857,4.880522663996751,ck,8h,ck_8. Du Lieu Trung Binh_Xi Măng Lam Thạch - Lò Nung Clinker 2 2023
104,SO2 - (mg/Nm3),0.0166666666,37.735416666625,8.806069589058733,ck,24h,ck_8. Du Lieu Trung Binh_Xi Măng Lam Thạch - Lò Nung Clinker 2 2023
105,CO - (mg/Nm3),0.0999999999,243.89436758889568,53.00449934421389,ck,24h,ck_8. Du Lieu Trung Binh_Xi Măng Lam Thạch - Lò Nung Clinker 2 2023
106,NOx - (mg/Nm3),0.0249999999,499.92395833329164,147.56194765919412,ck,24h,ck_8. Du Lieu Trung Binh_Xi Măng Lam Thạch - Lò Nung Clinker 2 2023
107,TSP - (mg/Nm3),5.1961805555166665,35.664015151472725,4.84054818206756,ck,24h,ck_8. Du Lieu Trung Binh_Xi Măng Lam Thạch - Lò Nung Clinker 2 2023
108,SO2 - (mg/Nm3),25.4666666666,409.5999999999,53.672179386580176,coal300,1h,coal300_1. Du Lieu Trung Binh_Nhiệt điện Uông Bí 300 MW 2023
109,CO - (mg/Nm3),0.175,213.0016666666,36.9125635700007,coal300,1h,coal300_1. Du Lieu Trung Binh_Nhiệt điện Uông Bí 300 MW 2023
110,NOx - (mg/Nm3),281.0166666666,721.8416666666,55.27014225767503,coal300,1h,coal300_1. Du Lieu Trung Binh_Nhiệt điện Uông Bí 300 MW 2023
111,TSP - (mg/Nm3),0.5,156.95,26.038774690783274,coal300,1h,coal300_1. Du Lieu Trung Binh_Nhiệt điện Uông Bí 300 MW 2023
112,SO2 - (mg/Nm3),25.825,331.444318181775,52.338893760181485,coal300,8h,coal300_1. Du Lieu Trung Binh_Nhiệt điện Uông Bí 300 MW 2023
113,CO - (mg/Nm3),0.62,198.92104166665,32.903436884792356,coal300,8h,coal300_1. Du Lieu Trung Binh_Nhiệt điện Uông Bí 300 MW 2023
114,NOx - (mg/Nm3),312.0577083333,670.1895833333,50.23987891109824,coal300,8h,coal300_1. Du Lieu Trung Binh_Nhiệt điện Uông Bí 300 MW 2023
115,TSP - (mg/Nm3),1.0,146.39999999998335,25.159665132685046,coal300,8h,coal300_1. Du Lieu Trung Binh_Nhiệt điện Uông Bí 300 MW 2023
116,SO2 - (mg/Nm3),26.386111111099996,312.2967857142429,50.57149476589372,coal300,24h,coal300_1. Du Lieu Trung Binh_Nhiệt điện Uông Bí 300 MW 2023
117,CO - (mg/Nm3),0.62,191.7310087719,27.831254034450584,coal300,24h,coal300_1. Du Lieu Trung Binh_Nhiệt điện Uông Bí 300 MW 2023
118,NOx - (mg/Nm3),356.749479166625,639.4361111110778,46.02928515681943,coal300,24h,coal300_1. Du Lieu Trung Binh_Nhiệt điện Uông Bí 300 MW 2023
119,TSP - (mg/Nm3),1.0,117.16725694440834,24.068326301144644,coal300,24h,coal300_1. Du Lieu Trung Binh_Nhiệt điện Uông Bí 300 MW 2023
120,SO2 - (mg/Nm3),0.3,424.3341666666,55.477782125173505,coalgt300,1h,coalgt300_2. Du Lieu Trung Binh_Nhiệt điện Uông Bí MR2 330 MW 2023
121,CO - (mg/Nm3),0.1,370.87,62.094046153146074,coalgt300,1h,coalgt300_2. Du Lieu Trung Binh_Nhiệt điện Uông Bí MR2 330 MW 2023
122,NOx - (mg/Nm3),20.68,770.2408333333,94.07006758813814,coalgt300,1h,coalgt300_2. Du Lieu Trung Binh_Nhiệt điện Uông Bí MR2 330 MW 2023
123,TSP - (mg/Nm3),0.2,194.3416666666,27.58426940734514,coalgt300,1h,coalgt300_2. Du Lieu Trung Binh_Nhiệt điện Uông Bí MR2 330 MW 2023
124,SO2 - (mg/Nm3),24.847480519457143,400.3599999999,52.79526665717065,coalgt300,8h,coalgt300_2. Du Lieu Trung Binh_Nhiệt điện Uông Bí MR2 330 MW 2023
125,CO - (mg/Nm3),0.2,361.44166666665,60.83107629416166,coalgt300,8h,coalgt300_2. Du Lieu Trung Binh_Nhiệt điện Uông Bí MR2 330 MW 2023
126,NOx - (mg/Nm3),23.214,766.66,96.09605648567597,coalgt300,8h,coalgt300_2. Du Lieu Trung Binh_Nhiệt điện Uông Bí MR2 330 MW 2023
127,TSP - (mg/Nm3),2.9416666666499998,193.0760416666375,26.31517320273926,coalgt300,8h,coalgt300_2. Du Lieu Trung Binh_Nhiệt điện Uông Bí MR2 330 MW 2023
128,SO2 - (mg/Nm3),30.15,400.3599999999,49.282335716774874,coalgt300,24h,coalgt300_2. Du Lieu Trung Binh_Nhiệt điện Uông Bí MR2 330 MW 2023
